Plot,longitude,latitude
DM 10B,144.649927,-38.22823277
DM 11A,144.6495214,-38.22821642
DM 11B,144.6495721,-38.22823512
DM 12A,144.6497488,-38.22837144
DM 12B,144.6497929,-38.22839836
DM 13A,144.6494039,-38.22837377
DM 13B,144.6494501,-38.22839538
DM 14A,144.6496248,-38.2285106
DM 14B,144.6496692,-38.22853643
DM 15A,144.6492829,-38.22852353
DM 15B,144.6493325,-38.22854511
DM 16A,144.6494717,-38.22867209
DM 16B,144.6495156,-38.22869809
DM 17A,144.6491465,-38.22866495
DM 17B,144.6491914,-38.22868606
DM 18A,144.649344,-38.22882353
DM 18B,144.649384,-38.22884519
DM 19A,144.6490228,-38.22880732
DM 19B,144.6490713,-38.22882565
DM 20A,144.649201,-38.22896663
DM 20B,144.649242,-38.22898965
PVD 1A,144.6516425,-38.22732948
PVD 1B,144.6516847,-38.22735968
PVD 2A,144.6518174,-38.22741408
PVD 2B,144.651862,-38.22743558
PVD 3A,144.6514546,-38.22749506
PVD 3B,144.6514988,-38.22752446
PVD 4A,144.6516718,-38.22756496
PVD 4B,144.651704,-38.22757839
PVD 5A,144.651308,-38.22764115
PVD 5B,144.6513481,-38.22767515
PVD 6A,144.6514663,-38.2277326
PVD 6B,144.65151,-38.2277551
PVD 7A,144.6511222,-38.22777099
PVD 7B,144.6511637,-38.22780865
PVD 8A,144.6512977,-38.22787987
PVD 8B,144.6513382,-38.22790808
PVD 9A,144.650974,-38.22791445
PVD 9B,144.6510163,-38.22795315
PVD 10A,144.6511125,-38.2280034
PVD 10B,144.6511599,-38.22801791
PVD 11A,144.650831,-38.22809477
PVD 11B,144.6508829,-38.22811324
PVD 12A,144.6509655,-38.22816292
PVD 12B,144.6510027,-38.22818693
PVD 13A,144.6506848,-38.22824316
PVD 13B,144.6507379,-38.22827267
PVD 14A,144.6508098,-38.2283466
PVD 14B,144.6508564,-38.22837761
PVD 15A,144.6505341,-38.2284184
PVD 15B,144.6505839,-38.22845424
PVD 16A,144.6506297,-38.2285427
PVD 16B,144.6506769,-38.22855252
PVD 17A,144.65037,-38.22857232
PVD 17B,144.6504242,-38.22860116
PVD 18A,144.6505251,-38.22867247
PVD 18B,144.6505606,-38.22868977
PVD 19A,144.6502214,-38.22872822
PVD 19B,144.650269,-38.22876437
PVD 20A,144.6503166,-38.22882272
PVD 20B,144.650347,-38.22884443
AVN01A,144.4570419,-38.07664116
AVN01B,144.4570506,-38.07669486
AVN03A,144.457178,-38.07658513
AVN03B,144.4572074,-38.07664307
AVN05A,144.4573243,-38.07653124
AVN05B,144.4573531,-38.076594
AVN07A,144.4574711,-38.07647657
AVN07B,144.457504,-38.07653413
AVN09A,144.4576121,-38.0764233
AVN09B,144.4576396,-38.07648976
AVN11A,144.4577455,-38.07638337
AVN11B,144.4577774,-38.07643961
AVN13A,144.4579331,-38.07633162
AVN13B,144.4579659,-38.07638203
AVN15A,144.4580763,-38.0762897
AVN15AB,144.4580894,-38.07635341
AVN17A,144.4582739,-38.07623725
AVN17B,144.4582951,-38.07631206
AVN19A,144.458477,-38.07620943
AVN19B,144.4585116,-38.07628556
AVN20A,144.4586606,-38.07645265
AVN20AB,144.4586933,-38.07649338
AVN18A,144.4585172,-38.07650918
AVN18B,144.4585524,-38.07655732
AVN16A,144.4583566,-38.07657299
AVN16B,144.4583867,-38.07663253
AVN14B,144.4582358,-38.07667936
AVN14BA,144.458196,-38.07662008
AVN12A,144.4580361,-38.07667957
AVN12B,144.4580823,-38.07672187
AVN10A,144.4578794,-38.07672686
AVN10B,144.4579027,-38.07679132
AVN08A,144.4577292,-38.07679517
AVN08B,144.457747,-38.07684785
AVN06A,144.4575703,-38.07683915
AVN06B,144.4576067,-38.07691138
AVN04A,144.4574027,-38.07694848
AVN04B,144.4574153,-38.07700038
AVN02B,144.4572157,-38.07706834
AVN02A,144.457192,-38.0770289
AVS01A,144.4559933,-38.07940909
AVS01B,144.4560449,-38.07944235
AVS03A,144.4560114,-38.07928188
AVS03B,144.4560872,-38.07930576
AVS05B,144.4560317,-38.07915042
AVS05A,144.4560328,-38.07914858
AVS05B,144.4561098,-38.07916778
AVS07A,144.4560588,-38.07901895
AVS07B,144.4561289,-38.07903015
AVS09A,144.4560849,-38.07889945
AVS09B,144.4561652,-38.0789189
AVS11A,144.4561387,-38.07878205
AVS11B,144.4562184,-38.07881688
AVS13A,144.4561994,-38.07866575
AVS13B,144.4562799,-38.07870922
AVS15A,144.4562755,-38.07855234
AVS15B,144.4563425,-38.07858121
AVS17A,144.4563528,-38.07846116
AVS17A1,144.4563715,-38.07846256
AVS17B,144.4564124,-38.07849426
AVS19A,144.4564255,-38.07833964
AVS19B,144.4564903,-38.07836375
AVS20A,144.4563599,-38.07864057
AVS20B,144.4564317,-38.07867423
AVS18A,144.4563391,-38.07875235
AVS18B,144.4564221,-38.07878558
AVS16A,144.4563328,-38.0788636
AVS16B,144.4564048,-38.07887549
AVS14A,144.4563224,-38.07896715
AVS14B,144.4563919,-38.078995
AVS12A,144.4563169,-38.07909795
AVS12B,144.4564084,-38.07910806
AVS10A,144.4563053,-38.07920518
AVS10B,144.4564111,-38.07919888
AVS08B,144.4564367,-38.07937252
AVS08A,144.4563003,-38.07932974
AVS06A,144.4562818,-38.07944153
AVS06B,144.4563848,-38.07947885
AVS04B,144.456391,-38.07962047
AVS04A,144.4562788,-38.07955539
AVS02A,144.4562624,-38.07966528
AVS02B,144.4563431,-38.07971996
